ID,Opportunity_Name,Funder,Funder_Type,Program_Name,Min_Amount_USD,Max_Amount_USD,Typical_Amount_USD,Deadline_Type,Deadline_Date,LOI_Deadline,LOI_Required,Response_Time_Weeks,Grant_Duration_Months,Renewable,Geographic_Focus,Population_Focus,Eligibility_Notes,Application_URL,Information_URL,Application_Format,Portal_Name,Required_Documents,Contact_Name,Contact_Email,Contact_Phone,FIU_Prior_Relationship,Prior_Award_Amount,Prior_Award_Description,Recommended_Route,Score_Funder_Alignment,Score_Capability_Match,Score_Success_Probability,Score_Strategic_Value,Score_Resource_Efficiency,Weighted_Score,Priority_Tier,Strategic_Notes,Key_Requirements,Funding_Priorities,Status,Assigned_To,Internal_Notes,Detail_Folder
FBF-MATERNAL-2025,Florida Blue Foundation Maternal Health Grants,Florida Blue Foundation,corporate_foundation,Maternal Health,270000,400000,300000,fixed,2025-10-06,,No,,36,No,Florida,"Pregnant/postpartum women, under-resourced communities","501(c)(3), maternal health focus, AI solutions preferred",https://www.floridablue.com/foundation,https://www.floridablue.com/foundation,online_portal,Florida Blue Grants Portal,"Proposal, budget, 501(c)(3) letter",Foundation Team,floridabluefoundation@floridablue.com,1-800-477-3736 x63215,prior_funded,500000,Health Equity Grant (current),route_2_ai_enhanced,5.0,5.0,4.5,5.0,4.0,4.80,high_priority,HIGHEST PRIORITY - AI-powered solutions specifically requested. FIU is CURRENT GRANTEE.,AI solutions preferred; under-resourced communities; maternal health outcomes,"Maternal health, AI/technology, health equity, community health",deadline_passed,,"DEADLINE PASSED (Oct 6 2025). Focus on renewal planning for current grant.",002-florida-blue
FBF-RENEWAL-2026,Florida Blue Foundation Grant Renewal,Florida Blue Foundation,corporate_foundation,Health Equity,400000,500000,500000,fixed,2026-12-31,,No,,36,Yes,Florida,"Health equity, underserved communities","Current grantee, renewal application",,https://www.floridablue.com/foundation,online_portal,Florida Blue Grants Portal,"Renewal application, progress report, outcomes data",Foundation Team,floridabluefoundation@floridablue.com,1-800-477-3736 x63215,prior_funded,500000,Health Equity Grant (ending 2026),route_1_thrive_focused,5.0,5.0,4.5,5.0,4.5,4.90,high_priority,CRITICAL - Current grant ending. Contact foundation NOW about renewal process.,"Progress metrics, outcomes documentation, sustainability plan","Health equity, community health",ready_for_review,,"URGENT RENEWAL PLANNING NEEDED. 3-year grant ending ~end 2026.",002-florida-blue
HFSF-ACCESS-001,Health Foundation of South Florida Access to Care,Health Foundation of South Florida,community_foundation,Access to Care,100000,500000,250000,rolling,,,No,,24,Yes,"Broward, Miami-Dade, Monroe Counties","Uninsured, low-income, Black, Hispanic","501(c)(3), South Florida focus, contact staff first",https://goapply2.akoyago.com/hfsf,https://hfsf.org/funding-opportunities/,online_portal,GOapply (AkoyaGo),"Proposal narrative, budget, work plan, board list, 501(c)(3), Form 990, financials",Janisse Rosario Schoepp,jschoepp@hfsf.org,,prior_funded,250000,Miami Health ACCESS,route_1_thrive_focused,5.0,5.0,4.5,5.0,4.0,4.75,high_priority,EXCEPTIONAL ALIGNMENT - Digital health technology and SDOH screening directly match HFSF priorities. CONTACT JANISSE FIRST.,"Digital health, SDOH screening, enrollment outreach, telehealth","Digital health technology, SDOH integration, safety net capacity, policy/advocacy",ready_for_review,,"Prior grantee. HFSF priorities perfectly match Thrive/NHELP. Must contact before applying.",001-hfsf-access-care
NACHC-MOBILE-003,2025 Mobile Health Advancement,NACHC/Lowenstein/Direct Relief,professional_association,Mobile Health Advancement,20000,20000,20000,fixed,2025-06-23,,No,,12,No,National,Medically underserved,"Section 330-funded or look-alike ONLY - academic medical centers NOT eligible. FQHC partnership required.",https://forms.office.com/Pages/ResponsePage.aspx,https://forms.office.com/Pages/ResponsePage.aspx,online_portal,Microsoft Forms,"Proposal, membership verification",Jermaine Pope,jpope@nachc.org,,no_relationship,,,route_4_nhelp_vehicle,5.0,5.0,4.0,4.5,4.5,4.65,high_priority,HIGH PRIORITY - Direct fit for mobile health operations. 10 awards available. REQUIRES FQHC PARTNERSHIP.,NACHC membership in good standing. Academic medical centers NOT directly eligible - must partner with eligible FQHC.,"Mobile health operations, outreach, expansion",deadline_passed,,"DEADLINE PASSED (Jun 23 2025). Monitor for 2026. FIU must partner with eligible FQHC to access funding.",003-nachc-mobile-health
PEACOCK-012,Peacock Foundation Health & Human Services,Peacock Foundation Inc.,private_foundation,General Grants,25000,100000,50000,rolling,,,Yes,12,12,Yes,Miami-Dade County,"Children, families, seniors, people with disabilities","501(c)(3) public charity, Miami-Dade focus, LOI by US mail",,https://peacockfoundationinc.org/grant-application-process,mail,None - LOI by US Mail,"LOI first, then invited proposal",Joëlle Allen,joelle@peacockfoundationinc.org,(305) 373-1386,no_relationship,,,route_4_nhelp_vehicle,5.0,5.0,4.0,4.5,4.0,4.55,high_priority,HIGH PRIORITY - Local Miami-Dade foundation with perfect geographic fit.,"501(c)(3) public charity, FL registration, Miami-Dade benefit","Health/human services for children/families/seniors/disabled, operating support",ready_for_review,,"LOI must be submitted by US MAIL ONLY. Quarterly board review.",004-peacock-foundation
MHA-011,Strengthening & Sustaining Mobile Healthcare,Mobile Healthcare Association,professional_association,Strengthening & Sustaining,10000,10000,10000,fixed,2025-09-30,,No,,12,No,National,Underserved communities,Mobile health program operator,https://mobilehca.org/grants/grant-program/,https://mobilehca.org/grants/grant-program/,online_portal,,"Proposal, program documentation",,,,no_relationship,,,route_4_nhelp_vehicle,5.0,5.0,4.0,4.0,4.5,4.55,high_priority,HIGH PRIORITY - Direct fit for NHELP mobile unit operations.,"Mobile health program, sustainability focus","Mobile healthcare operations, sustainability",deadline_passed,,"DEADLINE PASSED (Sep 30 2025). Monitor for 2026 cycle.",019-mobile-healthcare-assn
MIAMI-FOUND-013,Miami Foundation Community Grants,The Miami Foundation,community_foundation,Community Grants,50000,150000,100000,annual_cycle,,,No,,24,No,Miami-Dade County,"Underserved, BIPOC, LGBTQ+, youth","501(c)(3), Miami-Dade focus",,https://miamifoundation.org/what-we-do/nonprofit-support/grants/,online_portal,,"Proposal, organizational documents",,,,no_relationship,,,route_1_thrive_focused,4.5,4.5,3.5,4.5,4.0,4.25,high_priority,HIGH PRIORITY - Health is explicit priority area. Two-year general operating funding.,"501(c)(3), community-based, Miami-Dade","Health, Economic Stability, Inclusion, Arts, Environment, Youth",ready_for_review,,"Bi-annual cycles. Subscribe to newsletter for announcements.",005-miami-foundation
HRSA-CAPITAL-018,HRSA Capital Development Grants,HRSA/BPHC,federal,Capital Development,100000,650000,400000,annual_cycle,,,No,,12,No,National,Medically underserved,Health center or health center partner,https://www.grants.gov,https://bphc.hrsa.gov/funding/funding-opportunities/capital-development-grants,grants_gov,Grants.gov/EHBs,"SF-424, budget, work plan, environmental docs",,BPHCCapital@hrsa.gov,301-594-4300,no_relationship,,,route_4_nhelp_vehicle,5.0,5.0,3.5,5.0,3.0,4.40,high_priority,HIGH PRIORITY - Mobile units and equipment. Monitor grants.gov for NOFOs.,"Health center focus, medically underserved areas","Primary care capacity, mobile units, equipment",ready_for_review,,"Capital equipment and mobile unit support. Contact BPHCCapital@hrsa.gov.",008-hrsa-capital
RWJF-016,Robert Wood Johnson Foundation Grants,Robert Wood Johnson Foundation,private_foundation,Various Programs,250000,500000,400000,annual_cycle,,,Varies,,36,Yes,National,Health disparities populations,"501(c)(3), research institutions, universities. NOTE: Evidence for Action requires CBO lead - universities cannot lead",https://rwjf.org/en/grants/active-funding-opportunities.html,https://rwjf.org/en/grants.html,online_portal,MyRWJF,"Proposal, budget, research plan",,,(877) 843-7953,no_relationship,,,route_1_thrive_focused,5.0,4.5,3.0,5.0,3.0,4.15,high_priority,HIGH STRATEGIC VALUE - Major national health philanthropy. E4A requires CBO lead (universities cannot lead).,"Health equity focus, community partnership. For E4A: CBO must be lead applicant.","Health equity, systems change, data for equity",ready_for_review,,"Monitor Active/Upcoming page. Sign up for funding alerts. E4A programs closing Dec 31 2026.",006-rwjf
CDC-SDOH-020,CDC SDOH Accelerator Plans,CDC/NCCDPHP,federal,SDOH Accelerator,100000,125000,125000,annual_cycle,,,No,,12,No,"State, local, tribal jurisdictions",Chronic disease/underserved,"State/local/tribal government, universities, nonprofits",https://www.grants.gov,https://www.cdc.gov/addressing-sdoh-chronic-disease/about/accelerator-plans-funding-awardees.html,grants_gov,Grants.gov,"Proposal, multi-sector plan",,,,no_relationship,,,route_1_thrive_focused,4.5,4.5,3.5,4.0,4.0,4.15,high_priority,HIGH PRIORITY - Planning grant. Focus on Community-Clinical Linkages domain.,"At least 2 SDOH domains, multi-sector leadership team","Community-Clinical Linkages, Food Security, Built Environment, Social Connectedness",ready_for_review,,"71 recipients since 2021. Planning grants can lead to implementation funding.",010-cdc-sdoh
